perimetro,area,DPA_PARROQ,DPA_DESPAR,Area ha,Parroquia,COD,PIT,CLASIFICAC,SUBCLASIFI,NIVEL_USO,PIT_TRATAM,ACT_GENERA,USO_GENERA,SECTOR,COD_UE,SUBCLAS_UR,COD_PARR,ubicacion,tratamient,densidad,area_2,codigo,zona,LOTE_MIN,DENS_PROP,ALTURA_MAX,SUBCLASS,area_m2
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010166",,,,16.520600738842536,,RU,"0",,"0",PRODUCCION,165206.0078
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,PR05_02,ASENTAMIENTO EN AREA DE AMORTIGUAMIENTO DEL AREA ARQUEOLOGICA EL PLATEADO,RURAL,PROTECCION,ARQUEOLOGICA O VALOR HISTORICO Y PATRIMONIAL,CONSERVACION,CONSERVACION,PROTECCION DEL PATRIMONIO HISTORICO Y CULTURAL,,,,"010158",,,,15.221570033544621,,RU,"0",,"0",PROTECCION,152215.7021
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RO03,EQUIPAMIENTO DE HIDROCARBUROS EXISTENTE,RURAL,PRODUCCION,EQUIPAMIENTO DE HIDROCARBUROS,PROMOCION PRODUCTIVA,EQUIPAMIENTO,EQUIPAMIENTO,,,,"010156",,,,37.614468109735114,,RU,"0",,"0",PRODUCCION,376144.6821
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RO04,EQUIPAMIENTO EXISTENTE,RURAL,PRODUCCION,EQUIPAMIENTO EXISTENTE,PROMOCION PRODUCTIVA,EQUIPAMIENTO,EQUIPAMIENTO,,,,"010158",,,,25.703959654882556,,RU,"0",,"0",PRODUCCION,257039.5977
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,64.544215223782345,E-18,E,"500",Baja,"3",SUELO URBANO NO CONSOLIDADO,645442.1533
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,41.802051646116112,EXP-RIC-1,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,418020.5249
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,69.265145474771657,EXP-NUL-2,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,692651.4644
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,63.311144077977211,EXP-LLA-1,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,633111.4395
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Baja,22.691597267531726,E-34,E,"120",Baja,"3",SUELO URBANO NO CONSOLIDADO,226915.9751
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U01,SUELO URBANO CONSOLIDADO,URBANO,SUELO URBANO CONSOLIDADO,URBANO,RENOVACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Sostenimiento,Alta,320.619132993925120,E-23,E,"120",Alta,"4",SUELO URBANO CONSOLIDADO,3206191.3311
